URL,Title,Description,File Path
"/","RosterLab - AI Staff Scheduling Software for Complex Teams","Automate complex staff rosters in minutes with RosterLab's AI scheduling software. Boost fairness, cut admin time, and keep teams fully staffed.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/page.tsx"
"/about","About Us - Meet the Team Behind RosterLab","Learn about us and the people behind RosterLab. Our team is dedicated to building smarter, fairer scheduling solutions that put people first.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/about/page.tsx"
"/blog","RosterLab Blog - AI Rostering & Scheduling Tips","Discover insights on staff rostering, shift scheduling, and workforce planning. Stay ahead with practical tips from RosterLab.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/blog/page.tsx"
"/blog/:slug","[Dynamic - check generateMetadata function]","[Dynamic - check generateMetadata function]","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/blog/[slug]/page.tsx"
"/blog/page/:page","[Dynamic - check generateMetadata function]","[Dynamic - check generateMetadata function]","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/blog/page/[page]/page.tsx"
"/book-a-demo","RosterLab - Book a Demo","Book a live RosterLab demo to see AI rostering cut scheduling time by 90%, boost shift coverage, and keep teams compliant, healthier and happier.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/book-a-demo/page.tsx"
"/careers","Careers - Join our talented team at RosterLab","Join RosterLab's talented team and shape the future of AI staff scheduling—flexible roles, real growth opportunities, and a mission-driven culture await.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/careers/page.tsx"
"/case-studies","RosterLab Case Studies - Real-World Results","Explore our rostering success stories. See how RosterLab's AI cuts scheduling time and lifts staff satisfaction for industries worldwide.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/case-studies/page.tsx"
"/case-studies/:slug","[Dynamic - check generateMetadata function]","[Dynamic - check generateMetadata function]","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/case-studies/[slug]/page.tsx"
"/case-studies/page/:page","[Dynamic - check generateMetadata function]","[Dynamic - check generateMetadata function]","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/case-studies/page/[page]/page.tsx"
"/contact","Contact Us - RosterLab","Contact the team about your staff rostering needs using our contact form or live chat feature. We will aim to get back to you within 24 hours.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/contact/page.tsx"
"/feature/auto-roster-generation","AI Auto Roster Generation - RosterLab","Generate fully optimized rosters in minutes with AI that balances staffing levels, skills, preferences, and compliance effortlessly.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/feature/auto-roster-generation/page.tsx"
"/feature/leave-requests","Employee Leave Request Tracking - RosterLab","Give employees an easy portal to request leave while managers see real-time impacts on coverage, costs, and compliance before approving.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/feature/leave-requests/page.tsx"
"/feature/open-shifts","Open Shifts Management & Smart Matching - RosterLab","Publish open shifts instantly; AI matches qualified staff, automates offers, and fills gaps fast while controlling overtime and fatigue.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/feature/open-shifts/page.tsx"
"/feature/payroll-integration","Integrate Roster & Timesheet Data With Payroll - RosterLab","Connect your staff schedule to payroll with ease. RosterLab supports live feeds, exports, automation, and full API sync - ensuring error free payroll.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/feature/payroll-integration/page.tsx"
"/feature/preferences-rules","Shift Preferences & Fairness Rules - RosterLab","Let staff set shift preferences and apply fairness rules automatically to boost satisfaction, compliance, and retention.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/feature/preferences-rules/page.tsx"
"/feature/re-rostering","Fast Re-Rostering & Scenario Planning - RosterLab","Adjust rosters on the go when staff call in sick or require changes. AI re-optimises shifts in seconds to keep coverage and cost on track.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/feature/re-rostering/page.tsx"
"/feature/self-scheduling","Self-Scheduling - RosterLab","Empower your staff with flexible self-scheduling. Let employees choose shifts that work for them while maintaining operational requirements.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/feature/self-scheduling/page.tsx"
"/feature/shift-swaps","Shift Swaps: Automate Routine Shift Swaps, Review What Matters","Automate shift swaps with RosterLab AI, ensuring optimal staffing and compliance while saving time and reducing administration. Oversight where it matters.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/feature/shift-swaps/page.tsx"
"/free-rostering-template","Free Excel Rostering Template - RosterLab","Download our free Excel rostering spreadsheet template. Perfect for small healthcare teams looking to improve their scheduling process.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/free-rostering-template/page.tsx"
"/industries","Smart AI Rostering Software for All Industries - RosterLab","Simplify staff scheduling with our smart AI rostering software. Save time, boost efficiency & create fair rosters across industries that require rostering.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/industries/page.tsx"
"/industries/healthcare","Rostering Software for Healthcare - RosterLab","Learn how our rostering software simplifies staff scheduling in healthcare. Create fair, efficient rosters that improve patient care, compliance & saves time.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/industries/healthcare/page.tsx"
"/industries/healthcare/agedcare","Aged Care Staff Scheduling Software - RosterLab","Learn how our rostering software improves shift scheduling in Aged Care. Create better rosters that boost team wellbeing, ensure compliance & saves time.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/industries/healthcare/agedcare/page.tsx"
"/industries/healthcare/edicu","ED & ICU Staff Scheduling Software - RosterLab","Learn how our rostering software handles complex shift scheduling in the ED & ICU. Manage staff fatigue, save admin time & improve continuity of care.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/industries/healthcare/edicu/page.tsx"
"/industries/healthcare/radiology","Radiology Staff Scheduling Software - RosterLab","Learn how our rostering software simplifies complex staff scheduling in Radiology. Build fair, compliant rosters that are flexible & helps save time.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/industries/healthcare/radiology/page.tsx"
"/newsroom","RosterLab Newsroom - Press Releases & Updates","Get the latest RosterLab news - product launches, partnerships, awards, and media coverage. Stay updated on our AI rostering innovations.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/newsroom/page.tsx"
"/newsroom/:slug","[Dynamic - check generateMetadata function]","[Dynamic - check generateMetadata function]","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/newsroom/[slug]/page.tsx"
"/newsroom/page/:page","[Dynamic - check generateMetadata function]","[Dynamic - check generateMetadata function]","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/newsroom/page/[page]/page.tsx"
"/pricing","Pricing - Affordable AI Staff Scheduling Software","Explore RosterLab's flexible pricing for AI-powered staff rostering. Save time, ensure compliance, and build fairer schedules effortlessly.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/pricing/page.tsx"
"/resources/testimonials","","","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/resources/testimonials/page.tsx"
"/roi-calculator","ROI Calculator - Optimise your time and money with RosterLab","Calculate your ROI with RosterLab. See how much time and money you can save with AI-powered staff scheduling.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/roi-calculator/page.tsx"
"/schedge","Schedge - Puzzle Scheduling Game to Test your Skills","Play Schedge, the puzzle scheduling game that challenges you to create a 7×6 roster fast. Test your shift planning speed and strategy!","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/schedge/page.tsx"
"/solutions/ai-schedules","AI Staff Roster Generator for Scheduling Complex Shifts","Generate fair, optimized shift rosters with AI. RosterLab schedules complex patterns, balances workloads, and reduces admin by 95%.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/solutions/ai-schedules/page.tsx"
"/solutions/free-staff-scheduling","Free Staff Scheduling Platform - No More Spreadsheets!","Free staff-scheduling tool that automates rosters, slashes admin time, and keeps shifts compliant—plan smarter, faster, no credit card required.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/solutions/free-staff-scheduling/page.tsx"
"/solutions/staff-roster-mobile-app","Employee Mobile App - RosterLab","Empower your staff with mobile roster access. View schedules, request time off, swap shifts, and stay connected on the go.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/solutions/staff-roster-mobile-app/page.tsx"
"/staff-rostering-interactive-demo","RosterLab - Staff Rostering Interactive Demo","Try RosterLab's interactive demo to see AI-powered staff rostering build fair, compliant schedules in minutes—boost productivity and cut costs.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/staff-rostering-interactive-demo/page.tsx"
"/studio/:[...tool]","","","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/studio/[[...tool]]/page.tsx"
"/why-choose-us","Why Choose Us - RosterLab","Why do clients choose RosterLab as their staff scheduling solution? Our unique AI scheduling generator solves even the most complex staff schedules. Learn more.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/why-choose-us/page.tsx"